Team,Team win/loss pct,Team Scoring,Team Points Allowed,SOS,Prior  Final AP Ranking,Off Eff,Def Eff,Net YPP,Explosiveness,Def 10+ YPP,Turnover Margin,Off Returning %,Def Returning %,TOP pct
Michigan State,0.417,24.4,27.4,5.2,0,0.31,-0.15,-0.37,1.30009,0.153,1,0.65,0.79,0.5043
Middle Tennessee State,0.583,29.2,28.1,-7.17,0,-0.62,-0.54,-0.47,1.30165,0.194,-0.3,0.58,0.54,0.5614
Minnesota,0.667,28.3,13.3,-0.9,0,0.6,0.75,0.87,1.10201,0.089,-0.3,0.8,0.59,0.4736
Ole Miss,0.667,34.2,24.2,3.44,0,1.17,0.1,0.77,1.28291,0.108,0,0.49,0.68,0.5704
Mississippi State,0.667,32.7,24.2,4.81,25,0.49,0.74,-0.15,1.14869,0.134,-0.2,0.72,0.84,0.4587
Missouri,0.5,25.5,25,4.53,0,-0.09,0.68,0.06,1.27883,0.118,-0.1,0.52,0.78,0.5513
Navy,0.364,22.4,24.7,1.26,0,-0.16,0.14,-1.34,1.32905,0.206,1.5,0.53,0.51,0.5231
Nebraska,0.333,22.6,27.6,2.3,0,-0.01,-0.32,-0.18,1.2653,0.144,-0.9,0.57,0.57,0.5652
Nevada,0.167,18.8,30.9,-5.04,0,-1.05,-0.45,-1.29,1.33687,0.177,0.8,0.2,0.34,0.5113
New Mexico,0.167,13.1,26,-4.38,0,-1.47,-0.53,-1.98,1.01393,0.174,0.1,0.44,0.71,0.4749
New Mexico State,0.5,25.6,24.3,-9.36,0,-0.65,-1.11,-0.42,0,0.144,0.1,0.31,0.76,0.4845
North Carolina,0.692,35,31,1.16,24,1.02,-0.77,0.22,1.35185,0.142,0.3,0.49,0.78,0.4629
North Carolina State,0.667,25.3,19.4,3.23,0,-0.52,0.69,-0.67,1.18763,0.094,0.8,0.75,0.88,0.4763
North Texas,0.538,33.9,31.5,-4.59,0,0.1,-0.62,0.7,1.48563,0.13,-0.5,0.9,0.72,0.4974
Northern Illinois,0.25,27.3,32.8,-6.42,0,-0.54,-1.08,-0.69,1.281,0.147,0.1,0.84,0.81,0.5311
Northwestern,0.083,13.8,28.3,4.48,0,-0.57,0.11,-1.18,1.10846,0.123,0,0.65,0.65,0.5122
Notre Dame,0.667,30.7,21.8,3.85,19,0.4,0.46,0.54,1.09993,0.096,-0.5,0.49,0.69,0.4716
Ohio,0.692,31.9,28.4,-5.99,0,0.42,-0.51,0.23,1.29022,0.142,0.3,0.65,0.75,0.4671
Ohio State,0.917,44.5,19.3,3.19,5,1.78,0.91,2.7,1.28879,0.124,0.2,0.7,0.82,0.5536
Oklahoma,0.5,32.9,29.6,7.15,0,0.71,0.22,0.9,1.27475,0.15,0.7,0.47,0.82,0.5304
Oklahoma State,0.583,31.8,29.3,5.98,0,-0.03,0.44,-0.61,1.25301,0.205,1.2,0.69,0.37,0.5124
Oregon,0.75,39.7,27.4,3.92,15,1.49,0.1,1.15,1.16433,0.146,0.3,0.58,0.69,0.4761
Oregon State,0.75,32.4,21.4,2.43,16,0.41,0.75,0.83,1.17888,0.103,-0.4,0.68,0.78,0.4302
Penn State,0.833,35.8,18,3,8,0.76,1.09,1.82,1.35348,0.067,0.3,0.71,0.57,0.5099
Pitt,0.667,30.8,23.4,0.11,0,-0.06,0.59,0.66,1.26905,0.104,0.3,0.74,0.75,0.5419
Purdue,0.615,28.1,24.6,3.3,0,0.47,0.17,-0.08,1.11725,0.162,-0.5,0.68,0.72,0.5073
Rice,0.417,25.3,33.8,-3.51,0,-0.65,-0.6,-0.79,1.3003,0.198,-1.1,0.59,0.68,0.5379
Rutgers,0.333,17.4,29.8,3.54,0,-0.87,0.15,-1.5,1.12841,0.109,-0.2,0.74,0.61,0.5246
SMU,0.583,38.4,34.7,1.8,0,0.96,-0.52,0.18,1.39815,0.206,-1,0.83,0.75,0.448
San Diego State,0.583,21.3,20.2,-4.15,0,-0.93,0.14,-0.48,1.25945,0.128,1.3,0.44,0.64,0.5102
San Jose State,0.636,27.5,20.3,-8.29,0,0.24,-0.2,1.06,0,0.067,-0.4,0.58,0.55,0.495
South Alabama,0.833,31.9,19.4,-5.46,0,-0.1,0.25,0.62,1.31453,0.083,-0.5,0.57,0.68,0.5736
South Carolina,0.667,31.7,27.5,3.95,20,0.25,0.08,0.14,1.42054,0.107,0.5,0.82,0.65,0.4629
South Florida,0.083,28,41.2,2.35,0,0.01,-1.53,-1.95,1.36504,0.257,0.8,0.88,0.84,0.567
Southern Mississippi,0.5,24.3,23.5,-2.72,0,-0.78,-0.07,-0.67,1.27153,0.167,-0.1,0.86,0.83,0.4981
Stanford,0.25,21.3,32.2,5.97,0,-0.41,-0.36,-1.63,1.22505,0.223,0.1,0.94,0.82,0.4831
Syracuse,0.583,28.3,22.7,3.62,0,0.27,0.11,0.47,1.23067,0.093,0.2,0.79,0.81,0.4988
Texas Christian,0.923,40.3,25,6.75,3,1.26,0.6,1.63,1.47935,0.088,-0.2,0.82,0.82,0.5182
Temple,0.25,21.9,29.3,-2.31,0,-0.63,-0.26,-0.52,1.35106,0.16,0.2,0.6,0.71,0.501
Tennessee,0.833,47.3,23.5,4.32,7,1.89,0.29,1.58,1.2838,0.105,0.4,0.8,0.68,0.4968
Texas,0.667,35.7,21.2,9.24,21,1.06,0.83,1.66,1.1874,0.079,0.9,0.62,0.74,0.4662
Texas A&M,0.417,22.8,21.2,3.11,0,-0.17,0.47,0.29,1.27095,0.099,-0.3,0.62,0.6,0.4214
Texas State,0.333,21.1,26.3,-3.79,0,-1.02,-0.16,-0.93,1.19694,0.093,-0.6,0.89,0.64,0.4373
Texas Tech,0.583,33.6,29.5,7.95,0,0.32,0.49,-0.63,1.33863,0.164,-0.1,0.54,0.65,0.4739
Toledo,0.615,32.1,25.5,-7.23,0,-0.15,-0.14,1.07,1.30636,0.142,0.7,0.68,0.78,0.4942
Troy,0.846,26.2,17.5,-2.62,0,-0.28,0.36,1.16,1.30204,0.067,-0.1,0.72,0.87,0.4971
Tulane,0.846,35.2,20.5,0.07,18,0.54,0.6,1.3,1.33749,0.075,0.1,0.89,0.62,0.4737
Tulsa,0.417,30.6,33.1,-1.18,0,-0.1,-0.26,-0.28,1.38112,0.144,0.3,0.57,0.55,0.4822
UCF,0.692,34.4,23.2,0.37,22,0.73,0,0.5,1.20028,0.102,-1.5,0.77,0.81,0.5006
UCLA,0.75,39.6,28.3,0.87,17,1.4,-0.28,1.12,1.23406,0.107,0,0.61,0.57,0.583
Nevada-Las Vegas,0.417,26.3,28.5,-5.32,0,-0.58,-0.46,-0.45,1.27864,0.113,-0.2,0.76,0.84,0.5252
USC,0.846,41.1,27.9,3.51,4,1.92,-0.4,0.9,1.31654,0.212,0.8,0.59,0.59,0.4594
UTEP,0.417,24.4,27,-6.24,0,-0.72,-0.68,-0.42,1.30512,0.165,-1.3,0.6,0.78,0.4782
UTSA,0.846,38.7,26.5,-4.35,23,0.68,-0.31,0.75,1.21437,0.128,-0.1,0.87,0.67,0.4772
Utah,0.769,40,20.4,2.8,12,1.06,0.62,0.68,1.18381,0.155,1,0.71,0.61,0.4812
Utah State,0.5,23.3,30.6,-4.75,0,-0.59,-0.62,-0.89,1.17564,0.189,-0.2,0.63,0.47,0.5218
